# s_m; t_s; delta_rad; f_drive_N; f_brake_N; gamma_y_N
1230.0; 39.612; -0.00369; 1000.0; -0.0; -61.6
1233.0; 39.705; -0.00354; 1000.0; -0.0; -59.1
1236.0; 39.797; -0.00339; 1000.0; -0.0; -56.7
1239.0; 39.889; -0.00325; 1000.0; -0.0; -54.5
1242.0; 39.981; -0.00312; 1000.0; -0.0; -52.2
1245.0; 40.074; -0.00299; 1000.0; -0.0; -50.1
1248.0; 40.166; -0.00286; 1000.0; -0.0; -48.1
1251.0; 40.258; -0.00274; 1000.0; -0.0; -46.1
1254.0; 40.349; -0.00263; 1000.0; -0.0; -44.3
1257.0; 40.441; -0.00252; 1000.0; -0.0; -42.5
1260.0; 40.533; -0.00241; 1000.0; -0.0; -40.8
1263.0; 40.625; -0.00231; 1000.0; -0.0; -39.1
1266.0; 40.717; -0.00222; 1000.0; -0.0; -37.5
1269.0; 40.808; -0.00212; 1000.0; -0.0; -36.0
1272.0; 40.900; -0.00204; 1000.0; -0.0; -34.5
1275.0; 40.991; -0.00195; 1000.0; -0.0; -33.1
1278.0; 41.083; -0.00187; 1000.0; -0.0; -31.8
1281.0; 41.174; -0.00179; 1000.0; -0.0; -30.5
1284.0; 41.265; -0.00172; 1000.0; -0.0; -29.2
1287.0; 41.357; -0.00165; 1000.0; -0.0; -28.1
1290.0; 41.448; -0.00158; 1000.0; -0.0; -26.9
1293.0; 41.539; -0.00151; 1000.0; -0.0; -25.8
1296.0; 41.630; -0.00145; 1000.0; -0.0; -24.8
1299.0; 41.721; -0.00139; 1000.0; -0.0; -23.8
1302.0; 41.812; -0.00133; 1000.0; -0.0; -22.8
1305.0; 41.903; -0.00128; 1000.0; -0.0; -21.9
1308.0; 41.994; -0.00122; 1000.0; -0.0; -21.0
1311.0; 42.084; -0.00117; 1000.0; -0.0; -20.1
1314.0; 42.175; -0.00112; 1000.0; -0.0; -19.3
1317.0; 42.266; -0.00108; 1000.0; -0.0; -18.5
1320.0; 42.356; -0.00103; 1000.0; -0.0; -17.8
